title,description,location,salary,posted_date
Lanterneiro,"Provident voluptate illum consequatur quisquam laudantium quasi. Saepe aperiam quia consectetur.
Id minus tempore soluta. Necessitatibus saepe sequi quas.",Novaes,4836.73,2025-04-25 21:24:16
Biomédico,"Qui explicabo quas dolorem laborum.
Hic vel nobis. Dicta nam ipsum illum eum debitis. Magni dolorum dignissimos vitae aut quisquam.",Santos Verde,4036.23,2025-04-25 21:24:16
Mecânico,Inventore explicabo iste. Esse enim nemo. A doloribus iure neque. Odit nam accusamus molestiae.,Macedo,8681.52,2025-04-25 21:24:16
Pianista,Error ad quidem dolorum consequuntur. Nesciunt id itaque quo suscipit eligendi ducimus. Exercitationem rem recusandae eius.,Sales do Sul,5647.96,2025-04-25 21:24:16
Operador de vídeo,"Iste explicabo suscipit tempora.
Officia odio recusandae neque tenetur qui cumque. Iste animi voluptatibus ducimus ratione qui. Qui quibusdam ratione enim.",Monteiro Verde,9663.49,2025-04-25 21:24:16
Artista/Técnico em espetáculos de diversões,Dignissimos consequatur quam expedita. Quia consectetur atque neque incidunt. Voluptatum occaecati error nihil nam pariatur. Soluta laudantium sequi optio.,Pereira de Cunha,4299.84,2025-04-25 21:24:16
Geriatra,Provident dicta corporis adipisci reprehenderit tenetur aliquam. Consectetur cum provident expedita aspernatur.,Alves do Campo,3711.09,2025-04-25 21:24:16
Tecelão,Eaque odit molestias. Sit blanditiis laudantium debitis tempora veniam quisquam. Maxime rerum accusantium quia ad nihil. Dolor mollitia optio adipisci repudiandae alias.,da Costa de Goiás,6446.5,2025-04-25 21:24:16
Cameraman,Deserunt at repellat placeat pariatur assumenda placeat. Voluptas maiores consequatur cum iste. Dolor quos porro voluptate odit.,Silva,6435.64,2025-04-25 21:24:16
Técnico em desporto,"Perspiciatis ullam nemo molestias eaque reprehenderit ipsa. Cumque nam vel commodi cum.
Aliquid nostrum debitis aliquid. Vitae deserunt accusamus quo. Consectetur voluptatum magni.",Cavalcanti,4051.39,2025-04-25 21:24:16
Consultor de moda,Assumenda necessitatibus soluta. Quaerat aliquid tenetur facere mollitia voluptatem voluptatem. Deleniti beatae sint sapiente possimus dolor dignissimos.,Carvalho,2139.66,2025-04-25 21:24:16
Soldador,"Sint deleniti nobis ipsam quaerat iusto. Dolorem nulla recusandae aspernatur. Consequuntur autem ea quas corporis.
Quo quibusdam perferendis quos facilis. Nostrum quod natus exercitationem.",Araújo,6648.63,2025-04-25 21:24:16
Terapeuta floral,Aspernatur veniam ut aut tempore ea animi. Suscipit sequi aliquid fugiat. Eum nostrum quae vitae. Corrupti ea iste culpa molestias officiis ipsa.,Borges da Prata,7979.86,2025-04-25 21:24:16
Balconista,Velit fugit assumenda quaerat dolore dignissimos ea. Reiciendis delectus omnis error inventore commodi.,Araújo,9223.83,2025-04-25 21:24:16
Militar do Exército,Deserunt excepturi repudiandae. Repudiandae magnam asperiores doloremque. Modi est expedita molestiae odio ipsa enim. Iusto omnis a sed.,Castro,8597.0,2025-04-25 21:24:16
Lixeiro/Coletor de lixo,"Nisi nulla voluptatibus animi ipsa ea. Quas a necessitatibus.
Impedit quam odit iure aspernatur officia at. Saepe amet rerum ab minus iusto.",da Rosa,8269.15,2025-04-25 21:24:16
Sonoplasta,Recusandae eum animi labore totam commodi ipsam. Ipsum voluptatum eos architecto aspernatur suscipit. Culpa consectetur iusto.,Cirino,5274.04,2025-04-25 21:24:16
Leiteiro,Dolorum perspiciatis qui recusandae facere quam maiores quisquam. Tempora veniam animi natus sed. Aliquid at adipisci adipisci corporis nesciunt.,Pinto,1824.23,2025-04-25 21:24:16
